index,answer,question,Prompt,Response,Answer,Correct,,
0,12,"Quadrilateral A has side lengths 6, 9, 9, and 12. Quadrilateral B is a scaled copy of Quadrilateral A, with its shortest side of length 2. What is the perimeter of Quadrilateral B?","Please write a python code that will output the answer to this question: Quadrilateral A has side lengths 6, 9, 9, and 12. Quadrilateral B is a scaled copy of Quadrilateral A, with its shortest side of length 2. What is the perimeter of Quadrilateral B? Only write python code. Store the output in variable Ans in your python code.","```python
side_lengths_A = [6, 9, 9, 12]
scaling_factor = 2 / min(side_lengths_A)
side_lengths_B = [side * scaling_factor for side in side_lengths_A]

perimeter_A = sum(side_lengths_A)
perimeter_B = sum(side_lengths_B)

Ans = perimeter_B
print(Ans)
```",12,1,,
1,30,A blueprint for a building includes a rectangular room that measures 3 inches long and 5.5 inches wide. The scale for the blueprint says that 1 inch on the blueprint is equivalent to 10 feet in the actual building. What are the dimensions of this rectangular room in the actual building? What is the length of the building. Do not include units (feet) in your answer.,Please write a python code that will output the answer to this question: A blueprint for a building includes a rectangular room that measures 3 inches long and 5.5 inches wide. The scale for the blueprint says that 1 inch on the blueprint is equivalent to 10 feet in the actual building. What are the dimensions of this rectangular room in the actual building? What is the length of the building. Do not include units (feet) in your answer. Only write python code. Store the output in variable Ans in your python code.,"length = 3
width = 5.5
scale = 10

actual_length = length * scale
actual_width = width * scale

Ans = actual_length, actual_width",30 55,1,,78
2,2400,"A local park is in the shape of a square. A map of the local park is made with the scale 1 inch to 200 feet. If the park is shown as a square on the map, each side of which is one foot long, how long is each side of the square park? Do not include units (feet) in your answer.","Please write a python code that will output the answer to this question: A local park is in the shape of a square. A map of the local park is made with the scale 1 inch to 200 feet. If the park is shown as a square on the map, each side of which is one foot long, how long is each side of the square park? Do not include units (feet) in your answer. Only write python code. Store the output in variable Ans in your python code.","scale = 200
map_side_length = 1
park_side_length = map_side_length * scale
Ans = park_side_length",200,0,,34
3,"21,600",A map of a rectangular park has a length of 4 inches and a width of 6 inches. It uses a scale of 1 inch for every 30 miles. What is the actual area of the park? Do not include units (square miles) in your answer.,Please write a python code that will output the answer to this question: A map of a rectangular park has a length of 4 inches and a width of 6 inches. It uses a scale of 1 inch for every 30 miles. What is the actual area of the park? Do not include units (square miles) in your answer. Only write python code. Store the output in variable Ans in your python code.,"length_in_miles = 4 * 30
width_in_miles = 6 * 30
area_in_square_miles = length_in_miles * width_in_miles
Ans = area_in_square_miles // 1",21600,1,,
4,0.8,A store sells rope by the meter. The equation p=0.8L represents the price p (in dollars) of a piece of nylon rope that is L meters long. How much does the nylon rope cost per meter? Do not include units ($) in your answer.,Please write a python code that will output the answer to this question: A store sells rope by the meter. The equation p=0.8L represents the price p (in dollars) of a piece of nylon rope that is L meters long. How much does the nylon rope cost per meter? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.,"L = 1
p = 0.8 * L
Ans = p",0.8,1,,
5,20,"To transmit information on the internet, large files are broken into packets of smaller sizes. Each packet has 1,500 bytes of information. An equation relating packets to bytes of information is given by b = 1,500p where p represents the number of packets and b represents the number of bytes of information. How many packets would be needed to transmit 30,000 bytes of information?","Please write a python code that will output the answer to this question: To transmit information on the internet, large files are broken into packets of smaller sizes. Each packet has 1,500 bytes of information. An equation relating packets to bytes of information is given by b = 1,500p where p represents the number of packets and b represents the number of bytes of information. How many packets would be needed to transmit 30,000 bytes of information? Only write python code. Store the output in variable Ans in your python code.","```python
b = 30000
p = b // 1500
Ans = p
print(Ans)
```",20,1,,
6,90,"Han wants to buy a $30 ticket to a game, but the pre-order tickets are sold out. He knows there will be more tickets sold the day of the game, with a markup of 200%. How much should Han expect to pay for the ticket if he buys it the day of the game? Do not include units ($) in your answer.","Please write a python code that will output the answer to this question: Han wants to buy a $30 ticket to a game, but the pre-order tickets are sold out. He knows there will be more tickets sold the day of the game, with a markup of 200%. How much should Han expect to pay for the ticket if he buys it the day of the game? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.","markup = 2.0
base_price = 30
price_increase = base_price * markup
Ans = price_increase",60,0,,112
7,8,Noah was assigned to make 64 cookies for the bake sale. He made 125% of that number. 90% of the cookies he made were sold. How many of Noah's cookies were left after the bake sale? Do not include units (cookies) in your answer.,Please write a python code that will output the answer to this question: Noah was assigned to make 64 cookies for the bake sale. He made 125% of that number. 90% of the cookies he made were sold. How many of Noah's cookies were left after the bake sale? Do not include units (cookies) in your answer. Only write python code. Store the output in variable Ans in your python code.,"total_cookies = 64
made_cookies = total_cookies * 1.25
sold_cookies = made_cookies * 0.9
cookies_left = made_cookies - sold_cookies
Ans = cookies_left",8,1,,
8,0.125,"In Canadian coins, 16 quarters is equal in value to 2 toonies. number of quarters number of toonies 1 A 16 2 20 B 24 C What is the value of A?","Please write a python code that will output the answer to this question: In Canadian coins, 16 quarters is equal in value to 2 toonies. number of quarters number of toonies 1 A 16 2 20 B 24 C What is the value of A? Only write python code. Store the output in variable Ans in your python code.","```python
A_quarters = 16
A_toonies = 2

value_A = A_quarters * 25 + A_toonies * 100
Ans = value_A
```",600,0,,
9,0.45,At the supermarket you can fill your own honey bear container. A customer buys 12 oz of honey for $5.40. How much does honey cost per ounce? Do not include units ($) in your answer.,Please write a python code that will output the answer to this question: At the supermarket you can fill your own honey bear container. A customer buys 12 oz of honey for $5.40. How much does honey cost per ounce? Do not include units ($) in your answer. Only write python code. Store the output in variable Ans in your python code.,"price = 5.40
ounces = 12
cost_per_ounce = price / ounces
Ans = cost_per_ounce
print(Ans)",0.45,1,,
